sample	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
TCGA-OR-A5J1-01A	0.109517141	0.126832365	0.209946568	0.110269094	0.066580853	0.489240321
TCGA-OR-A5J2-01A	0.111422117	0.122945122	0.213529271	0.108901832	0.065820429	0.496164781
TCGA-OR-A5J3-01A	0.110691398	0.117282728	0.209806233	0.106530555	0.055762558	0.489622329
TCGA-OR-A5J5-01A	0.106685764	0.118828201	0.206968864	0.106482156	0.05548804	0.486803495
TCGA-OR-A5J6-01A	0.106230889	0.125072052	0.212350409	0.110022748	0.087342793	0.506978997
TCGA-OR-A5J7-01A	0.113697976	0.122771939	0.205952854	0.106907425	0.054398901	0.489903482
TCGA-OR-A5J8-01A	0.111591592	0.148715111	0.291755767	0.163251237	0.190236621	0.526754814
TCGA-OR-A5J9-01A	0.110106571	0.12387338	0.217386678	0.107176822	0.055439376	0.492819557
TCGA-OR-A5JA-01A	0.108626623	0.121116318	0.205696151	0.108817807	0.058366324	0.49126717
TCGA-OR-A5JB-01A	0.115259519	0.072731648	0.354387604	0.171337321	0.060227283	0.529044344
TCGA-OR-A5JC-01A	0.106947709	0.120467337	0.211260295	0.109361921	0.05787212	0.489427709
TCGA-OR-A5JD-01A	0.108378269	0.120234427	0.214715621	0.109427284	0.065728619	0.489546776
TCGA-OR-A5JE-01A	0.111242865	0.121178984	0.204986677	0.108688033	0.06026536	0.49171641
TCGA-OR-A5JF-01A	0.109765526	0.120723319	0.206825582	0.106799905	0.057661232	0.487153356
TCGA-OR-A5JG-01A	0.106433806	0.120887397	0.205743328	0.106684215	0.060691383	0.487243981
TCGA-OR-A5JI-01A	0.106860423	0.122661163	0.214347816	0.107273332	0.059926543	0.486973306
TCGA-OR-A5JJ-01A	0.109997263	0.123908871	0.214129991	0.107116012	0.052624765	0.497080968
TCGA-OR-A5JK-01A	0.115592592	0.137056829	0.239439625	0.114131411	0.076588149	0.495826914
TCGA-OR-A5JL-01A	0.108106899	0.124111221	0.215680851	0.107089598	0.065449501	0.489513386
TCGA-OR-A5JM-01A	0.113331614	0.118435411	0.205279808	0.107264536	0.06241431	0.485238852
TCGA-OR-A5JO-01A	0.122946535	0.125650939	0.305091277	0.118738369	0.126500744	0.52924994
TCGA-OR-A5JP-01A	0.110752767	0.121221281	0.207065736	0.108000464	0.060273398	0.488467401
TCGA-OR-A5JQ-01A	0.119255281	0.134571172	0.231659226	0.115340131	0.079005945	0.49564491
TCGA-OR-A5JR-01A	0.111164003	0.120731684	0.218857094	0.109169171	0.068964411	0.492450638
TCGA-OR-A5JS-01A	0.114851098	0.117127015	0.210741041	0.107888995	0.053592419	0.493399125
TCGA-OR-A5JT-01A	0.115245209	0.118993815	0.212904392	0.109863774	0.060998833	0.493548634
TCGA-OR-A5JV-01A	0.130860583	0.139904032	0.221419849	0.136237417	0.157646819	0.498045606
TCGA-OR-A5JW-01A	0.11219321	0.124675315	0.207650635	0.107574281	0.064370138	0.487744375
TCGA-OR-A5JX-01A	0.106569353	0.121120139	0.211759303	0.107633885	0.056613974	0.490196108
TCGA-OR-A5JY-01A	0.115041702	0.124486836	0.206967864	0.111567221	0.064842261	0.498916113
TCGA-OR-A5JZ-01A	0.117318457	0.117408422	0.212760147	0.112238249	0.071589482	0.492418489
TCGA-OR-A5K0-01A	0.117733958	0.112027884	0.208777658	0.110437419	0.05636306	0.492766807
TCGA-OR-A5K1-01A	0.110085131	0.120624966	0.224141051	0.109487084	0.055935977	0.495795273
TCGA-OR-A5K2-01A	0.115660423	0.120712278	0.204855344	0.108755589	0.060749503	0.49193558
TCGA-OR-A5K3-01A	0.105458538	0.119904984	0.203963671	0.107708599	0.060723061	0.487880706
TCGA-OR-A5K4-01A	0.111679485	0.118688895	0.210147814	0.10804643	0.064384011	0.488202219
TCGA-OR-A5K5-01A	0.107021036	0.121091448	0.206247363	0.107806658	0.055730525	0.490616181
TCGA-OR-A5K6-01A	0.108628927	0.121395609	0.20583585	0.108755706	0.065022603	0.490533698
TCGA-OR-A5K8-01A	0.10581294	0.118505476	0.207218839	0.105042469	0.056319867	0.485129974
TCGA-OR-A5K9-01A	0.112062622	0.118524379	0.205506741	0.107300624	0.058368682	0.487098959
TCGA-OR-A5KO-01A	0.10906646	0.125049542	0.209047665	0.10409514	0.059317998	0.491853211
TCGA-OR-A5KT-01A	0.130162943	0.139666599	0.22002333	0.11379822	0.097181036	0.509267743
TCGA-OR-A5KU-01A	0.105062878	0.120104284	0.214897416	0.110972755	0.06016868	0.484968894
TCGA-OR-A5KV-01A	0.106548516	0.118692493	0.207443575	0.106397112	0.05817706	0.48326727
TCGA-OR-A5KW-01A	0.106490827	0.120729115	0.20713502	0.106609335	0.05908015	0.488411909
TCGA-OR-A5KX-01A	0.116117633	0.11858437	0.209957812	0.108997598	0.05742934	0.494677816
TCGA-OR-A5KY-01A	0.111909561	0.123409761	0.207350346	0.109287365	0.065912005	0.49022682
TCGA-OR-A5KZ-01A	0.107724851	0.120008197	0.220172672	0.110362446	0.062098522	0.501810772
TCGA-OR-A5L3-01A	0.105105352	0.116854153	0.202922744	0.104758116	0.05222849	0.483556821
TCGA-OR-A5L4-01A	0.108745784	0.121828414	0.214732692	0.107496436	0.057708643	0.494289735
TCGA-OR-A5L5-01A	0.11261518	0.127771415	0.223677019	0.108966702	0.073342099	0.495543885
TCGA-OR-A5L6-01A	0.108327939	0.109707336	0.230419684	0.10767532	0.056972485	0.4890421
TCGA-OR-A5L8-01A	0.108166934	0.11893328	0.21256838	0.106707995	0.059362722	0.485556398
TCGA-OR-A5L9-01A	0.104043364	0.118998519	0.208743309	0.10589373	0.052444706	0.486132112
TCGA-OR-A5LA-01A	0.106641396	0.123490599	0.217173008	0.107030896	0.062354329	0.489532382
TCGA-OR-A5LB-01A	0.110395756	0.121696743	0.20765159	0.106797077	0.058935046	0.486431912
TCGA-OR-A5LC-01A	0.109946781	0.122652494	0.206923914	0.110098847	0.059434433	0.490364288
TCGA-OR-A5LD-01A	0.106744097	0.117841866	0.20559526	0.104996553	0.052318592	0.484065504
TCGA-OR-A5LE-01A	0.109426869	0.118736695	0.204291164	0.1056476	0.05085918	0.48812916
TCGA-OR-A5LG-01A	0.111477098	0.125183077	0.207224353	0.109743613	0.065187846	0.495006271
TCGA-OR-A5LH-01A	0.111640003	0.122008855	0.218414949	0.110484584	0.063464007	0.489386005
TCGA-OR-A5LJ-01A	0.111245665	0.122962702	0.213455754	0.107030488	0.05824161	0.4907765
TCGA-OR-A5LK-01A	0.113366956	0.128832382	0.222674701	0.111857871	0.083876669	0.50138127
TCGA-OR-A5LL-01A	0.114536115	0.116489926	0.215082412	0.108348021	0.058431722	0.489600605
TCGA-OR-A5LM-01A	0.106151742	0.121968596	0.206201394	0.109025014	0.057241647	0.489494584
TCGA-OR-A5LN-01A	0.107032104	0.121460829	0.220428677	0.10917616	0.063553377	0.487545762
TCGA-OR-A5LO-01A	0.10890667	0.120646816	0.206865094	0.105811393	0.053305246	0.490581363
TCGA-OR-A5LP-01A	0.11206414	0.128439452	0.218440838	0.114111314	0.080105707	0.496342749
TCGA-OR-A5LR-01A	0.112077892	0.122691171	0.210873023	0.109899909	0.070100124	0.4924706
TCGA-OR-A5LS-01A	0.109963658	0.122701389	0.210725508	0.106481629	0.056750107	0.489292904
TCGA-OR-A5LT-01A	0.107280641	0.120447549	0.205634981	0.107127119	0.062429852	0.488730696
TCGA-OU-A5PI-01A	0.114512197	0.123810146	0.212469352	0.108622823	0.061837761	0.493496125
TCGA-P6-A5OF-01A	0.110310471	0.124624651	0.208615498	0.110241491	0.071467818	0.493652237
TCGA-P6-A5OG-01A	0.134244979	0.122437094	0.287084009	0.178893281	0.11263853	0.528241066
TCGA-PA-A5YG-01A	0.113996434	0.128006594	0.230629091	0.112222964	0.087327365	0.499388057
TCGA-PK-A5H8-01A	0.107436577	0.125634224	0.209923618	0.111368646	0.072207941	0.491487711
TCGA-PK-A5H9-01A	0.111701936	0.1304965	0.218036002	0.113736906	0.076430615	0.498735214
TCGA-PK-A5HA-01A	0.10879944	0.119608677	0.221642103	0.109108671	0.104597909	0.494674211
TCGA-PK-A5HB-01A	0.111064257	0.123706475	0.208095919	0.109910451	0.059190908	0.495184211
TCGA-2F-A9KO-01A	0.141573965	0.15134556	0.213905568	0.155901203	0.03452771	0.517588138
TCGA-2F-A9KP-01A	0.093283414	0.074563478	0.128937242	0.073704602	0.016127061	0.334085021
TCGA-2F-A9KQ-01A	0.078440386	0.076775389	0.14519682	0.074595515	0.043595069	0.361550787
TCGA-2F-A9KR-01A	0.098934422	0.111038388	0.140616386	0.097414594	0.053580401	0.339275013
TCGA-2F-A9KT-01A	0.062615472	0.07300033	0.22418416	0.102209512	0.049059233	0.437243557
TCGA-2F-A9KW-01A	0.097130678	0.115227109	0.123777477	0.116091846	0.12932347	0.417981144
TCGA-4Z-AA7M-01A	0.067957768	0.109526699	0.127994411	0.068324707	0.077660979	0.29475275
TCGA-4Z-AA7N-01A	0.667447617	0.608531141	0.092825003	0.234703232	0	0.789964173
TCGA-4Z-AA7O-01A	0.09601308	0.100500254	0.172658501	0.098441762	0	0.390011675
TCGA-4Z-AA7Q-01A	0.118407823	0.097300793	0.221904698	0.13814949	0.039013548	0.55091155
TCGA-4Z-AA7R-01A	0.105191106	0.088055087	0.136085623	0.07536248	0.034121102	0.400089099
TCGA-4Z-AA7S-01A	0.111304212	0.037911959	0.198355596	0.060335923	0.037245887	0.326315394
TCGA-4Z-AA7W-01A	0.246944236	0.077467034	0.440084085	0.182493286	0	0.833373685
TCGA-4Z-AA7Y-01A	0.088694159	0.06121006	0.211143379	0.088337837	0.092449374	0.384473631
TCGA-4Z-AA80-01A	0.095192088	0.048905086	0.173328798	0.093559823	0.008434272	0.360846892
TCGA-4Z-AA81-01A	0.003534789	0.109525491	0.260138258	0.120221205	0	0.551712986
TCGA-4Z-AA82-01A	0.015486492	0.140739494	0.366005314	0.147365843	0.042795277	0.723066458
TCGA-4Z-AA83-01A	0.073793991	0.143158931	0.065003225	0.114889688	0	0.415466705
TCGA-4Z-AA84-01A	0.011137364	0.146886981	0.186672033	0.056136979	0.029235126	0.467000643
TCGA-4Z-AA86-01A	0.012791687	0.179691818	0.281281237	0.306013774	0.105224443	0.856107474
TCGA-4Z-AA87-01A	0.060023174	0.101544301	0.077857153	0.067577572	0	0.338409796
TCGA-4Z-AA89-01A	0.078377398	0.113794193	0.087879869	0.070492118	0	0.330359815
TCGA-5N-A9KI-01A	0.077468438	0.178407357	0.235252534	0.124829623	0.253350532	0.463846816
TCGA-5N-A9KM-01A	0.124099918	0.03929598	0.227067087	0.138997773	0.1762377	0.392506744
TCGA-BL-A0C8-01A	0.099542051	0.082063324	0.14976603	0.07766882	0.037777754	0.375590422
TCGA-BL-A13I-01A	0	0.288034034	0.090766577	0.230126419	0.708587032	0.796897029
TCGA-BL-A13J-11A	0.010591933	0.114630119	0.306590873	0.193667781	0.077345071	0.641206742
TCGA-BL-A13J-01A	0.060026288	0.113177559	0.135916414	0.069498125	0.068771869	0.367607726
TCGA-BL-A3JM-01A	0.095654165	0.110459814	0.209174826	0.097477477	0.087899456	0.398934342
TCGA-BL-A5ZZ-01A	0	0.107890177	0.322055836	0.172292078	0.198345488	0.581813334
TCGA-BT-A0S7-01A	0.072576605	0.081871166	0.154743251	0.052965416	0.038304109	0.352736684
TCGA-BT-A0YX-01A	0.092855645	0.093101502	0.201755718	0.128277214	0.058290747	0.449318019
TCGA-BT-A20J-01A	0.296296399	0.1364526	0.285327055	0.266207255	0.033818304	1.047763022
TCGA-BT-A20N-11A	0.000795935	0.101160812	0.271407112	0.199358221	0	0.719574816
TCGA-BT-A20N-01A	0.120930472	0.064440025	0.212552917	0.058506932	0.065102128	0.352811406
TCGA-BT-A20O-01A	0.430316022	0.111308246	0.844468423	0.365467991	0.235546037	1.644404274
TCGA-BT-A20P-01A	0.061500256	0.102195921	0.068218333	0.074274198	0	0.308803605
TCGA-BT-A20Q-11A	0.013518686	0.097780364	0.267316801	0.134002996	0	0.732147684
TCGA-BT-A20Q-01A	0.115176541	0.138510249	0.175794347	0.142161451	0.0676706	0.475978635
TCGA-BT-A20R-11A	0	0.046487883	0.301276823	0.231516283	0	0.674414522
TCGA-BT-A20R-01A	0.028952337	0.10054451	0.208429688	0.120925948	0.362247688	0.413787517
TCGA-BT-A20T-01A	0.086050495	0.114343746	0.141355659	0.093403696	0.079237168	0.40822818
TCGA-BT-A20U-11A	0.047361116	0.102751893	0.20225157	0.070018995	0.004818037	0.377352316
TCGA-BT-A20U-01A	0.109233133	0.132673752	0.132827671	0.126373801	0.044190562	0.417166908
TCGA-BT-A20V-01A	0.102302739	0.09404256	0.272049885	0.151472812	0.095570397	0.457167999
TCGA-BT-A20W-11A	0.051758034	0.164382869	0.404813757	0.185045349	0.076756045	0.694597227
TCGA-BT-A20W-01A	0.08881415	0.125486339	0.158636009	0.088417489	0.001140137	0.386583695
TCGA-BT-A20X-01A	0.076769556	0.090211086	0.237481012	0.095103207	0.03396648	0.480899698
TCGA-BT-A2LA-11A	0	0.049918456	0.278772881	0.146219384	0	0.420705868
TCGA-BT-A2LA-01A	0.07550275	0.120885741	0.136966088	0.058178059	0.020172724	0.328603204
TCGA-BT-A2LB-11A	0.082352801	0.100771952	0.23011599	0.120108907	0.052489761	0.380020125
TCGA-BT-A2LB-01A	0.052820503	0.132841867	0.179524777	0.156568006	0.174119722	0.388376318
TCGA-BT-A2LD-01A	0.106443839	0.105724817	0.138544855	0.097191477	0.099327091	0.372348443
TCGA-BT-A3PH-01A	0.040517835	0.087396656	0.113339777	0.0625482	0.059293132	0.429641878
TCGA-BT-A3PJ-01A	0.150185328	0.132700851	0.159392701	0.19115718	0.031466111	0.718201747
TCGA-BT-A3PK-01A	0.079690875	0.072650838	0.303644892	0.176512805	0.003292197	0.579444568
TCGA-BT-A42C-01A	0.08981286	0.072773437	0.13537588	0.082578012	0.045507721	0.330367942
TCGA-BT-A42E-01A	0.080716589	0.238426374	0.10904989	0.157556275	0	0.615069594
TCGA-BT-A42F-01A	0.029008042	0.093609685	0.217200449	0.156491947	0	0.606836327
TCGA-C4-A0EZ-01A	0.013423699	0.200498242	0.04251027	0.045120931	0.033790454	0.290205135
TCGA-C4-A0F0-01A	0.058059063	0.055014282	0.264978464	0.106648973	0.057458779	0.533635406
TCGA-C4-A0F1-01A	0.018547711	0.086427262	0.229164478	0.096235487	0.022005014	0.460753673
TCGA-C4-A0F6-01A	0.077428358	0.086892204	0.147191573	0.057597197	0.079171841	0.350721548
TCGA-C4-A0F7-01A	0.087453536	0.103556008	0.164954435	0.055483321	0.042327776	0.378637073
TCGA-CF-A1HR-01A	0.098534582	0.098100789	0.155035331	0.076119609	0.150785229	0.372296159
TCGA-CF-A1HS-01A	0.111318464	0.083529403	0.2685168	0.11129051	0.079249881	0.613922625
TCGA-CF-A27C-01A	0.093417221	0.073078149	0.127760209	0.057554128	0.028815851	0.305285745
TCGA-CF-A3MF-01A	0.039198718	0.062540786	0.049577764	0.039360874	0	0.187344974
TCGA-CF-A3MG-01A	0.112542383	0.069934405	0.144743143	0.06744918	0.092801607	0.296040724
TCGA-CF-A3MH-01A	0.094090464	0.108227546	0.090822569	0.068157446	0.010650094	0.319429257
TCGA-CF-A3MI-01A	0.051014763	0.088184568	0.077629589	0.052271172	0	0.267732064
